# t/min, T/Grad Celsius, I/pA
0, -48.8, 4.2
1, -46.8, 4.2
2, -44.8, 4.2
3, -43, 4.1
4, -41, 4.0
5, -39.6, 3.9
6, -38, 3.7
7, -36.5, 3.5
8, -35.1, 3.3
9, -33.9, 3.1
10, -32.5, 2.7
11, -31.3, 2.3
12, -29.9, 1.8
13, -28.4, 1.2
14, -26.7, 0.4
15, -25.1, -0.7
16, -23.5, -1.9
17, -22, -3.2
18, -20.5, -4.5
19, -19.1, -5.7
20, -17.7, -6.7
21, -16.3, -7.6
22, -14.8, -8.3
23, -13.3, -8.6
24, -11.5, -8.5
25, -10, -7.8
26, -8.4, -6.6
27, -6.9, -5.2
28, -5.4, -3.8
29, -3.9, -2.6
30, -2.5, -1.8
31, -1.3, -1.3
32, -0.1, -1
33, 1.3, -1.1
34, 2.9, -1.3
35, 4.5, -1.7
36, 6.3, -2.2
37, 7.8, -2.7
38, 9.3, -3.2
39, 10.8, -3.5
40, 12.2, -3.9
41, 13.5, -4.3
42, 15, -4.9
43, 16.5, -5.5
44, 18, -6.2
45, 19.4, -7.6
46, 21, -7.9
47, 22.5, -9
48, 24, -11
49, 25.5, -11.5
50, 27, -13.5
51, 28.5, -15
52, 30, -17
53, 31.5, -19
54, 33, -21.5
55, 34.5, -24
56, 36.1, -27
57, 37.7, -29
58, 39.2, -31
59, 40.6, -32.5
60, 42, -33
61, 43.3, -32
62, 44.8, -31.5
63, 46.5, -30.5
64, 48.2, -28.5
65, 49.6, -26.5
66, 51.1, -22.5